domain,mozDA,mozPA,srTraffic,adminEmail,adminName,category,niche
abbottsathome.com,46,,19909,abbottsathome@outlook.com,,Automotive,Car
agirlsguidetocars.com,50,,40488,info@agirlsguidetocars.com,Scotty,Automotive,Car
agvsport.com,31,,15081,youtube@agvsg.com,,Automotive,Motorcycle
allforturntables.com,24,,4320,reeze@allforturntables.com,Reeze,Automotive,Car
allthingsthrifty.com,60,,647,allthingsthrifty@gmail.com,Brooke,Automotive,Motorcycle
alltyretests.com,35,,5907,admin@alltyretests.com,Admin,Automotive,Tires & Wheels
alwaysreadyhq.com,31,,1748,lglvek6yd@mozmail.com,,Automotive,Car
amanandhisgear.com,23,,5238,"austin@amanandhisgear.com, partner@amanandhisgear.com, contact@amanandhisgear.com",Austin,Automotive,Car
atvfixed.com,15,,100,treestoneclub@gmail.com,John,Automotive,Off-road vehicles
atvhelper.com,22,,25728,atvhelpercontact@gmail.com,Rob,Automotive,Off-road vehicles
autocarehq.com,23,,8749,info@autocarehq.com,Heather,Automotive,Car
autoguide.com,73,,143260,"social@autoguide.com, cwood@verticalscope.com",Colum,Automotive,Car
autopadre.com,26,,28089,contact@autopadre.com,,Automotive,Car
autoquarterly.com,41,,798,support@autoquarterly.com,Wyatt,Automotive,Car
autovfix.com,28,,3569,info@autovfix.com,,Automotive,Car
autoweek.com,79,,444643,"jahl@autoweek.com, rreynolds@autoweek.com",Natalie,Automotive,Car
axleaddict.com,57,,73493,info@axleaddict.com,,Automotive,Car
beastriders.com,38,,220,"Support@BeastRiders.com, TahirAzam@BeastRiders.com",Tahir,Automotive,Motorcycle
bestbeginnermotorcycles.com,49,,102808,info@bestbeginnermotorcycles.com,,Automotive,Motorcycle
bestlifeonline.com,73,,1370406,help@bestlifeonline.com,David,Automotive,Car
bicycling.com,75,,747865,info@bicycling.com,,Automotive,Motorcycle
bigbikereviews.com,27,,1268,contact@bigbikereviews.com,,Automotive,Motorcycle
bikeradar.com,70,,517471,testing@bikeradar.com,George,Automotive,Motorcycle
bikerestart.com,20,,651,info@bikerestart.com,,Automotive,Motorcycle
bikergirllife.com,21,,5169,kat@bikergirllife.com,Kat,Automotive,Motorcycle
bikerrated.com,33,,2636,info@bikerrated.com,,Automotive,Motorcycle
bryansgarage.com,15,,7628,bryansgaragecarcare@gmail.com,Bryan,Automotive,Car
canadamotoguide.com,48,,1374,info@canadamotoguide.com,,Automotive,Car
canadiangearhead.com,29,,30891,contact@canadiangearhead.com,Tim,Automotive,Car
caraudionow.com,43,,25343,support@caraudionow.com,Kameron,Automotive,"Car, Audio Systems"
carbiketech.com,39,,7181,support@carbiketech.com,,Automotive,"Car, Motorcycle"
